日付,REIT DTD PNL,REIT MTD PNL,REIT FYTD PNL,,Others DTD PNL,Others MTD PNL,Others YTD PNL,全体 DTD PNL,全体 MTD PNL,全体 FYTD PNL,,全体 Gross Exposure (億円),株式 Exposure (億円)
2026/04/01,2408001,2408001,2408001,,-2407220,-2407220,92632806,781,781,781,,26.19,22.33
2026/04/02,-2509938,-101938,-101938,,-3046668,-5337035,89563832,-5556606,-5438973,-5438973,,25.44,21.72
2026/04/03,1666891,1564950,1564950,,-325183,-5589745,89311123,1341708,-4024795,-4024795,,25.67,21.44
2026/04/06,-1067889,497063,497063,,4842166,-689247,94211621,3774277,-192184,-192184,,25.88,21.29
2026/04/07,1382334,1879397,1879397,,1214830,525583,95423707,2566409,2198702,2198702,,25.13,20.03
2026/04/08,614271,2493668,2493668,,-13318133,-12792550,82105574,-12703862,-10298882,-10298882,,23.58,19.08
2026/04/09,-827076,1574191,1574191,,-1859417,-14213015,80820214,-2686493,-12638824,-12638824,,22.88,18.41
