code,name,market,price,asai_score,recommendation,ret_1m,ret_3m,rsi,ma25_diff,pbr,per,div_yield,catalyst_days,mktcap
6573,CRAVIA,グロース,45.0,-24.4,SELL候補,-0.274193548,-0.451219512,20.5491581,-0.197490092,3.565019814,,,16.0,2069328600.0
264A,Schoo,グロース,368.0,-24.0,SELL候補,-0.134117647,-0.425,24.81553962,-0.142857143,2.427756519,46.97274687,,16.0,4678144800.0
2884,ﾖｼﾑﾗ･ﾌｰﾄﾞ･ﾎｰﾙﾃﾞｨﾝｸﾞｽ,プライム,661.0,-23.2,SELL候補,-0.24543379,-0.226900585,17.53138968,-0.212504964,1.270382976,44.4203265,,77.0,15919108231.0
2721,ジェイホールディングス,スタンダード,113.0,-22.5,SELL候補,-0.15037594,-0.456730769,26.58132478,-0.113081395,9.166790968,,,16.0,1162600500.0
5240,monoAI technology,グロース,176.0,-20.7,SELL候補,-0.149758454,-0.278688525,27.88023606,-0.138506164,1.763279336,,,16.0,2158689280.0
7373,アイドマ・ホールディングス,グロース,1262.0,-20.7,SELL候補,-0.243858598,-0.417090069,29.86621667,-0.180578602,2.470091201,9.352875784,0.023771791,72.0,19325308880.0
8267,イオン,プライム,1561.5,-19.4,SELL候補,-0.180530045,-0.283247933,23.72475935,-0.13071134,3.540550956,47.30048714,0.008752268,72.0,4346480000000.0
8894,REVOLUTION,スタンダード,43.0,-19.1,SELL候補,-0.156862745,-0.232142857,24.45280143,-0.123111782,7.045634703,,,44.0,6307169351.0
3196,ホットランドホールディングス,プライム,1575.0,-14.1,不労逆張り,-0.22298964,-0.169741697,13.26511979,-0.153461799,2.952949258,32.74055195,0.008253968,16.0,40632480000.0
519A,ベーシック,最新IPO,607.0,-5.0,不労逆張り,-0.09672619,-0.24125,14.08765685,-0.105405883,4.208595292,8.80475776,,21.0,3583664265.0
2296,伊藤ハム米久ホールディングス,プライム,5250.0,19.2,不労逆張り,-0.088541667,-0.110642245,17.5502758,-0.07134434,1.003487266,16.60810816,0.060952381,2.0,301723000000.0
9823,マミーマート,スタンダード,1143.0,1.4,不労逆張り,-0.155834564,-0.206996106,17.99772668,-0.124758934,1.312795544,10.44644379,0.019772529,16.0,61703671995.0
2437,Shinwa Wise Holdings,スタンダード,401.0,-18.2,不労逆張り,-0.390577508,-0.243396226,18.63579478,-0.373546259,2.167520066,,,72.0,4418145018.0
2168,パソナグループ,プライム,1664.0,5.8,不労逆張り,-0.105857066,-0.201152184,19.90645558,-0.098700048,0.486463266,,0.045072115,77.0,66876659200.0
3539,ＪＭホールディングス,プライム,1370.0,2.1,不労逆張り,-0.10923277,-0.212704961,19.9994465,-0.086237988,1.479541698,10.57994301,0.017518248,42.0,69813830000.0
3038,神戸物産,プライム,2777.5,-18.2,不労逆張り,-0.196790052,-0.283964939,20.13150538,-0.133184997,3.817861963,21.87107947,0.01080108,44.0,759924000000.0
7226,極東開発工業,プライム,2684.0,13.3,不労逆張り,-0.069670711,-0.156710721,20.51757593,-0.069837888,0.939542264,25.37245396,0.052160954,14.0,107763000000.0
8043,スターゼン,プライム,1135.0,15.2,不労逆張り,-0.103475513,-0.09238163,20.56839502,-0.080006004,0.694512947,8.481142523,0.037885463,15.0,66474289560.0
8273,イズミ,プライム,954.0,12.7,不労逆張り,-0.077369439,-0.047893827,21.43794881,-0.075481856,0.681725702,11.64120247,0.031446541,72.0,205106000000.0
