,﻿銘柄コード,銘柄名,業種,上場市場,次回決算発表日,次回決算発表時間,時価総額,Average Daily Volume(25days),株価,前営業日終値,本日の株価変化率,Bid,Ask,Mid,Mid_Chg_Pct,当日のVolume,Day_High,Day_Low,過去1カ月トータルリターン,過去3か月トータルリターン,過去6か月トータルリターン,過去1年トータルリターン,過去3年トータルリターン,過去5年トータルリターン,25日移動平均,RSI(14日間),配当利回り,PER,PBR,現値と25日移動平均の乖離,Updated_At
101,1814 JT Equity,大末建設,Construction & Engineering,プライム,2026/05/12,14:00,37415143125,98633.33333,3525,3395,0.038291605,3525,3530,3527.5,0.039027982,149400,3560,3395,-0.023545706,-0.074491148,0.069051584,0.823120033,2.381313408,3.739765258,3535.740741,51.55270853,0.051914894,6.947929017,1.501754144,-0.003037763,2026/04/28 6:57
102,1815 JT Equity,鉄建建設,Construction & Engineering,プライム,2026/05/14,13:00,74570300880,104107.4074,4980,4875,0.021538462,4980,4995,4987.5,0.02412731,115200,5020,4880,0.095709571,0.068515125,0.445110665,0.865079649,1.910353642,2.344213808,4773.333333,61.99423688,0.034136546,30.62571189,0.888056164,0.043296089,2026/04/28 6:57
103,1820 JT Equity,西松建設,Construction & Engineering,プライム,2026/05/12,13:00,2.4565E+11,115562.963,5878,5729,0.026008029,5867,5881,5874,0.025667889,163600,5895,5750,0.019954885,0.041192883,0.133433054,0.153993447,0.885504938,1.582914656,5794.148148,58.76269863,0.037427696,13.83162932,1.270103967,0.014471817,2026/04/28 6:57
104,1822 JT Equity,大豊建設,Construction & Engineering,スタンダード,2026/05/13,14:00,67902277065,204007.4074,751,740,0.014864865,747,752,749.5,0.01420839,163200,751,739,-0.033462033,-0.001449311,-0.010274885,-0.014009697,0.055354787,0.160465709,769.6666667,41.63698397,0.045272969,16.28345475,0.909870514,-0.024252923,2026/04/28 6:57
105,1826 JT Equity,佐田建設,Construction & Engineering,スタンダード,2026/05/11,14:00,13868137388,32003.7037,1036,1023,0.012707722,1032,1036,1034,0.010258915,8100,1036,1021,-0.050412466,-0.084610342,-0.028466443,-0.004576273,1.459384261,2.001195637,1088.888889,33.12279971,0.057915058,18.06621943,1.134430077,-0.048571429,2026/04/28 6:57
106,1827 JT Equity,ナカノフドー建設,Construction & Engineering,スタンダード,2026/05/14,14:00,46986408114,40533.33333,1362,1321,0.031037093,1345,1375,1360,0.024868124,23600,1362,1320,0.028700906,0.226110059,0.510695257,0.763115224,2.569594864,3.074280008,1365.925926,50.15468088,0.022026432,13.88995758,0.994851022,-0.002874187,2026/04/28 6:57
107,1828 JT Equity,田辺工業,Construction & Engineering,スタンダード,2026/05/13,14:00,28214640000,11396.2963,2630,2494,0.054530874,2597,2630,2613.5,0.042065391,34100,2630,2494,0.066504461,-0.009397818,0.1540264,0.279005349,2.04617388,2.616832988,2486.037037,68.07167318,0.034980989,10.30487893,1.0490445,0.057908616,2026/04/28 6:57
108,1833 JT Equity,奥村組,Construction & Engineering,プライム,2026/05/15,15:00,2.37404E+11,89762.96296,6140,5980,0.026755853,6140,6150,6145,0.029313233,117100,6140,6000,-0.031545741,-0.020382873,0.284809388,0.458859187,1.128486241,1.926838764,6302.592593,44.71246435,0.042996743,11.78458763,1.151423321,-0.025797732,2026/04/28 6:57
109,1835 JT Equity,東鉄工業,Construction & Engineering,プライム,2026/05/14,14:00,2.01799E+11,59855.55556,5590,5370,0.040968343,5550,5600,5575,0.037209302,67400,5610,5370,0.018214936,0.22361536,0.336032319,0.820765252,1.287945346,1.668812533,5504.074074,58.03283629,0.026833631,14.96288682,1.52319452,0.015611332,2026/04/28 6:57
110,1840 JT Equity,土屋ホールディングス,Household Durables,スタンダード,2026/06/12,,5825176668,11800,226,227,-0.004405286,226,227,226.5,-0.004395604,27300,229,222,-0.030042918,4.44E-03,-0.104879594,0.050967262,0.293056098,0.629299809,233.0740741,28.02125404,0.044247788,,0.469905874,-0.030351184,2026/04/28 6:57
